MSA.FIPS.Code,MSA.Name,latitude,longitude,OVERALL.RANK,OVERALL.INDEX,GOAL.1.AVERAGE,%.of.population.living.below.the.federal.poverty.level,Per.Capita.Personal.Income,%.of.children.living.Below.Twice.the.poverty.Line,GOAL.2.AVERAGE,Food.insecurity.rate,Percent.of.population.that.is.obese,GOAL.3.AVERAGE,Infant.mortality.rate,Percentage.of.low.birth.weight.babies.,"Number.of.new.Syphilis,.Chlamydia.and.Gonorrhea.cases.diagnosed.per.100,000.population..","Number.of.diagnosed.incidences.of.all.types.of.diabetes.per.1,000.people..",Deaths.due.to.heart.attack,.Death.due.to.traffic.accidents,Percent.of.persons.with.health.insurance.coverage,Primary.Care.Physicians.Per.100000.People,GOAL.4.AVERAGE,School.enrollment,%.of.Population.Without.High.School.Degree,"%.of.3-4.year.olds.enrolled.in.school.(nursery,.pre-k,.kindergarden)",%.of.Population.with.an.Undergraduate.Degree,GOAL.5.AVERAGE,Median.earnings.gap,Rapes.known.to.law.enforcement,%.of.businesses.owned.by.women.,GOAL.6.AVERAGE,Normalized.Deficit.(Water.Stress).,GOAL.7.AVERAGE,Share.of.Low.Carbon.Energy.Generated.in.the.State,GOAL.8.AVERAGE,GDP.Growth,Percent.of.jobs.in.STEM.fields,Unemployment.rate,Disconnected.youth.(ages.16.to.24.not.in.school.and.not.working),GOAL.9.AVERAGE,Number.of.utility.patent.grants,Broadband.penetration,GOAL.10.AVERAGE,Gini.coefficient,Racial.Segregation,Absolute.Upward.Mobility,GOAL.11.AVERAGE,Housing.Affordability,Percent.of.households.living.in.overcrowded.housing,Use.of.sustainable.Transportation,Smart.Growth.America's.Sprawl.Index,Access.to.Parks,PM.2.5.Average.Levels.(Population.Weighted),Ozone.Levels.(8-Hr),GOAL.12.AVERAGE,"Toxic.release.of.air,.water.and.land.per.square.mile.(lbs)",GOAL.13.AVERAGE,Average.annual.household.carbon.footprint,GOAL.15.AVERAGE,Green.open.space.,Number.of.brownfield.and.superfund.sites,GOAL.16.AVERAGE,Violent.crime..Offences.known.to.law.enforcement,"Deaths.by.firearms.per.100,000.population"
41940,"San Jose-Sunnyvale-Santa Clara, CA ",36.9375,-121.3542,1,68.57,82.09,72.60,100.00,73.68,43.73,41.89,45.57,69.59,85.34,49.19,72.47,69.43,53.56,80.27,60.71,85.77,57.84,53.12,47.32,32.41,98.50,40.41,15.20,73.80,32.22,98.83,98.83,51.58,51.58,97.15,100.00,100.00,100.00,88.62,82.56,100.00,65.11,60.13,15.64,74.89,89.86,52.02,3.30,17.51,28.37,90.27,99.93,66.89,57.86,99.79,99.79,57.83,57.83,51.32,14.91,87.73,83.62,93.14,74.11
42660,"Seattle-Tacoma-Bellevue, WA ",47.6061,-122.3321,2,63.52,62.83,64.01,61.50,62.97,27.07,27.28,26.86,63.39,77.51,61.89,58.42,75.58,24.61,78.98,55.67,74.46,43.62,20.84,68.01,13.42,72.22,37.04,19.73,62.76,28.64,100.00,100.00,100.00,100.00,78.06,65.04,82.76,98.65,65.80,54.21,47.11,61.32,48.74,20.32,57.33,68.57,69.23,56.15,74.66,58.65,74.62,74.81,69.28,76.41,97.29,97.29,52.45,52.45,51.43,26.92,75.95,67.38,69.72,65.05
14460,"Boston-Cambridge-Newton, MA-NH ",42.3601,-71.0588,3,61.86,71.22,67.77,73.17,72.73,39.37,45.73,33.02,72.55,81.61,46.23,85.71,61.04,37.47,85.96,82.37,100.00,59.52,45.84,64.56,38.33,89.33,42.42,27.28,84.15,15.83,99.22,99.22,26.39,26.39,80.89,41.42,82.14,100.00,100.00,45.16,38.86,51.46,39.13,9.89,25.49,82.02,68.26,51.55,87.56,83.17,,65.67,57.94,63.70,97.47,97.47,53.83,53.83,32.71,38.77,26.65,99.69,99.69,
41860,"San Francisco–Oakland–Hayward, CA ",37.7749,-122.4194,4,61.70,77.37,65.08,100.00,67.03,34.57,26.39,42.75,66.64,82.92,53.91,32.91,67.14,50.17,85.40,60.71,100.00,59.18,51.87,53.17,38.64,93.04,50.13,42.38,72.27,35.75,86.19,86.19,51.58,51.58,87.30,83.95,82.53,100.00,82.70,67.15,76.01,58.29,38.76,6.17,29.81,80.31,65.92,0.00,38.18,100.00,88.39,100.00,73.05,61.85,87.66,87.66,58.38,58.38,36.10,18.85,53.35,58.51,67.41,49.61
31540,"Madison, WI ",43.0186,-89.5498,5,61.23,54.89,58.10,38.55,68.02,32.53,38.39,26.67,68.63,49.59,54.56,76.57,95.30,38.96,61.79,72.30,100.00,58.29,51.45,79.04,18.40,84.29,42.73,38.60,77.70,11.88,96.01,96.01,25.00,25.00,81.40,50.00,94.20,100.00,,35.66,22.51,48.81,53.86,24.64,56.33,80.61,74.62,77.66,88.90,48.56,100.00,89.45,55.91,61.87,98.02,98.02,49.04,49.04,63.41,31.57,95.25,84.34,84.98,83.69
31700,"Manchester-Nashua, NH ",42.8335,-71.6673,6,60.76,64.24,76.36,44.74,71.63,31.63,46.48,16.77,62.62,70.14,62.48,94.64,57.68,27.19,70.21,58.70,59.88,47.04,37.46,66.23,24.78,59.69,30.05,19.73,62.42,7.99,100.00,100.00,91.80,91.80,68.33,33.02,71.97,100.00,,45.57,34.37,56.77,54.31,31.58,,77.05,58.74,80.12,90.79,6.25,69.76,35.30,73.16,55.81,99.94,99.94,51.81,51.81,31.19,0.00,62.38,74.14,72.72,75.55
10580,"Albany-Schenectady-Troy, NY ",42.7636,-73.6536,7,60.44,55.40,63.47,38.83,63.89,30.05,36.03,24.07,56.85,,48.14,62.59,54.09,34.35,73.47,73.81,51.48,49.21,44.16,68.86,26.65,57.18,37.99,38.10,63.78,12.11,99.94,99.94,68.09,68.09,67.19,25.66,63.35,96.97,82.78,43.96,45.56,42.36,41.42,26.23,31.24,66.80,60.76,85.09,99.46,26.92,48.64,34.56,69.90,,96.99,96.99,51.99,51.99,64.58,42.69,86.47,82.16,91.40,72.92
14860,"Bridgeport-Stamford-Norwalk, CT ",41.2881,-73.3237,8,60.16,82.79,75.29,100.00,73.08,41.86,43.95,39.77,66.86,69.52,42.89,88.59,82.06,50.85,81.67,49.12,70.20,63.73,48.90,59.60,54.06,92.35,41.54,12.43,98.08,14.11,99.99,99.99,58.18,58.18,62.49,24.04,31.78,94.13,100.00,38.09,25.86,50.32,27.62,0.00,18.00,64.85,54.84,53.55,80.59,54.33,81.47,42.91,57.05,13.95,99.29,99.29,49.24,49.24,29.46,50.73,8.19,86.38,92.40,80.35
37100,"Oxnard-Thousand Oaks-Ventura, CA ",34.5328,-119.1391,9,60.10,53.67,65.62,43.17,52.22,48.55,53.78,43.33,63.41,71.42,78.58,81.07,82.06,42.12,66.65,38.04,47.38,37.02,42.35,33.72,25.41,46.60,43.90,31.05,76.00,24.66,96.23,96.23,51.58,51.58,56.68,10.92,32.75,95.50,87.54,42.63,37.22,48.05,60.19,23.89,76.94,79.76,45.26,27.35,27.89,8.65,71.85,96.18,47.66,37.21,99.91,99.91,61.09,61.09,63.26,28.39,98.14,78.15,79.45,76.86
39340,"Provo-Orem, UT ",39.9997,-111.6661,10,59.66,36.30,54.88,2.24,51.79,26.27,22.70,29.83,55.86,62.87,56.66,100.00,100.00,0.00,79.25,48.12,0.00,39.47,15.10,74.37,4.07,64.35,27.77,0.00,83.31,0.00,99.91,99.91,0.91,0.91,81.40,100.00,45.45,100.00,80.14,39.23,33.07,45.39,78.54,35.62,100.00,100.00,58.33,73.83,56.99,24.52,65.14,70.56,68.43,48.84,99.41,99.41,63.93,63.93,100.00,,100.00,87.57,75.93,99.22
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV ",39.129,-77.3784,11,58.44,74.87,77.44,,72.30,42.63,55.70,29.56,59.63,56.54,36.34,,71.64,64.16,74.09,51.64,62.99,56.39,36.23,61.59,27.74,100.00,55.07,40.11,77.70,47.40,19.62,19.62,86.61,86.61,66.61,16.82,83.95,100.00,65.68,35.67,12.29,59.04,40.31,25.20,29.17,66.58,66.52,65.92,75.76,77.88,63.60,79.99,51.48,51.01,97.90,97.90,39.47,39.47,61.90,37.88,85.91,73.35,75.22,71.48
