msa,year,value
"Abbotsford-Mission, British Columbia",2001,6.8
"Abbotsford-Mission, British Columbia",2002,7.5
"Abbotsford-Mission, British Columbia",2003,7.5
"Abbotsford-Mission, British Columbia",2004,6.5
"Abbotsford-Mission, British Columbia",2005,5.6
"Abbotsford-Mission, British Columbia",2006,4.6
"Abbotsford-Mission, British Columbia",2007,4.2
"Abbotsford-Mission, British Columbia",2008,4.9
"Abbotsford-Mission, British Columbia",2009,8.0
"Abbotsford-Mission, British Columbia",2010,7.9
"Abbotsford-Mission, British Columbia",2011,8.8
"Abbotsford-Mission, British Columbia",2012,8.1
"Abbotsford-Mission, British Columbia",2013,7.7
"Abbotsford-Mission, British Columbia",2014,7.4
"Abbotsford-Mission, British Columbia",2015,6.4
"Abbotsford-Mission, British Columbia",2016,6.6
"Abbotsford-Mission, British Columbia",2017,5.5
"Abbotsford-Mission, British Columbia",2018,4.5
"Abbotsford-Mission, British Columbia",2019,5.2
"Abbotsford-Mission, British Columbia",2020,7.6
"Barrie, Ontario",2001,5.8
"Barrie, Ontario",2002,5.7
"Barrie, Ontario",2003,5.9
"Barrie, Ontario",2004,4.9
"Barrie, Ontario",2005,4.8
"Barrie, Ontario",2006,6.2
"Barrie, Ontario",2007,5.0
"Barrie, Ontario",2008,6.0
"Barrie, Ontario",2009,9.3
"Barrie, Ontario",2010,9.4
"Barrie, Ontario",2011,9.7
"Barrie, Ontario",2012,8.1
"Barrie, Ontario",2013,7.1
"Barrie, Ontario",2014,6.0
"Barrie, Ontario",2015,7.0
"Barrie, Ontario",2016,7.8
"Barrie, Ontario",2017,5.4
"Barrie, Ontario",2018,6.5
"Barrie, Ontario",2019,5.9
"Barrie, Ontario",2020,9.5
"Brantford, Ontario",2001,6.8
"Brantford, Ontario",2002,7.3
"Brantford, Ontario",2003,6.1
"Brantford, Ontario",2004,6.7
"Brantford, Ontario",2005,6.6
"Brantford, Ontario",2006,6.1
"Brantford, Ontario",2007,5.9
"Brantford, Ontario",2008,6.0
"Brantford, Ontario",2009,10.0
"Brantford, Ontario",2010,8.8
"Brantford, Ontario",2011,8.6
"Brantford, Ontario",2012,8.4
"Brantford, Ontario",2013,6.4
"Brantford, Ontario",2014,6.8
"Brantford, Ontario",2015,5.7
"Brantford, Ontario",2016,6.0
"Brantford, Ontario",2017,4.9
"Brantford, Ontario",2018,6.2
"Brantford, Ontario",2019,4.3
"Brantford, Ontario",2020,8.2
"Calgary, Alberta",2001,4.6
"Calgary, Alberta",2002,5.7
"Calgary, Alberta",2003,5.4
"Calgary, Alberta",2004,5.0
