full,msa,province,year,indicator,value
"Abbotsford-Mission, British Columbia",Abbotsford-Mission, British Columbia,2001,unemployment,6.8
"Abbotsford-Mission, British Columbia",Abbotsford-Mission, British Columbia,2002,unemployment,7.5
"Abbotsford-Mission, British Columbia",Abbotsford-Mission, British Columbia,2003,unemployment,7.5
"Abbotsford-Mission, British Columbia",Abbotsford-Mission, British Columbia,2004,unemployment,6.5
"Abbotsford-Mission, British Columbia",Abbotsford-Mission, British Columbia,2005,unemployment,5.6
"Abbotsford-Mission, British Columbia",Abbotsford-Mission, British Columbia,2006,unemployment,4.6
"Abbotsford-Mission, British Columbia",Abbotsford-Mission, British Columbia,2007,unemployment,4.2
"Abbotsford-Mission, British Columbia",Abbotsford-Mission, British Columbia,2008,unemployment,4.9
"Abbotsford-Mission, British Columbia",Abbotsford-Mission, British Columbia,2009,unemployment,8
"Abbotsford-Mission, British Columbia",Abbotsford-Mission, British Columbia,2010,unemployment,7.9
"Abbotsford-Mission, British Columbia",Abbotsford-Mission, British Columbia,2011,unemployment,8.8
"Abbotsford-Mission, British Columbia",Abbotsford-Mission, British Columbia,2012,unemployment,8.1
"Abbotsford-Mission, British Columbia",Abbotsford-Mission, British Columbia,2013,unemployment,7.7
"Abbotsford-Mission, British Columbia",Abbotsford-Mission, British Columbia,2014,unemployment,7.4
"Abbotsford-Mission, British Columbia",Abbotsford-Mission, British Columbia,2015,unemployment,6.4
"Abbotsford-Mission, British Columbia",Abbotsford-Mission, British Columbia,2016,unemployment,6.6
"Abbotsford-Mission, British Columbia",Abbotsford-Mission, British Columbia,2017,unemployment,5.5
"Abbotsford-Mission, British Columbia",Abbotsford-Mission, British Columbia,2018,unemployment,4.5
"Abbotsford-Mission, British Columbia",Abbotsford-Mission, British Columbia,2019,unemployment,5.2
"Abbotsford-Mission, British Columbia",Abbotsford-Mission, British Columbia,2020,unemployment,7.6
"Barrie, Ontario",Barrie, Ontario,2001,unemployment,5.8
"Barrie, Ontario",Barrie, Ontario,2002,unemployment,5.7
"Barrie, Ontario",Barrie, Ontario,2003,unemployment,5.9
"Barrie, Ontario",Barrie, Ontario,2004,unemployment,4.9
"Barrie, Ontario",Barrie, Ontario,2005,unemployment,4.8
"Barrie, Ontario",Barrie, Ontario,2006,unemployment,6.2
"Barrie, Ontario",Barrie, Ontario,2007,unemployment,5
"Barrie, Ontario",Barrie, Ontario,2008,unemployment,6
"Barrie, Ontario",Barrie, Ontario,2009,unemployment,9.3
"Barrie, Ontario",Barrie, Ontario,2010,unemployment,9.4
"Barrie, Ontario",Barrie, Ontario,2011,unemployment,9.7
"Barrie, Ontario",Barrie, Ontario,2012,unemployment,8.1
"Barrie, Ontario",Barrie, Ontario,2013,unemployment,7.1
"Barrie, Ontario",Barrie, Ontario,2014,unemployment,6
"Barrie, Ontario",Barrie, Ontario,2015,unemployment,7
"Barrie, Ontario",Barrie, Ontario,2016,unemployment,7.8
"Barrie, Ontario",Barrie, Ontario,2017,unemployment,5.4
"Barrie, Ontario",Barrie, Ontario,2018,unemployment,6.5
"Barrie, Ontario",Barrie, Ontario,2019,unemployment,5.9
"Barrie, Ontario",Barrie, Ontario,2020,unemployment,9.5
"Brantford, Ontario",Brantford, Ontario,2001,unemployment,6.8
"Brantford, Ontario",Brantford, Ontario,2002,unemployment,7.3
"Brantford, Ontario",Brantford, Ontario,2003,unemployment,6.1
"Brantford, Ontario",Brantford, Ontario,2004,unemployment,6.7
"Brantford, Ontario",Brantford, Ontario,2005,unemployment,6.6
"Brantford, Ontario",Brantford, Ontario,2006,unemployment,6.1
"Brantford, Ontario",Brantford, Ontario,2007,unemployment,5.9
"Brantford, Ontario",Brantford, Ontario,2008,unemployment,6
"Brantford, Ontario",Brantford, Ontario,2009,unemployment,10
"Brantford, Ontario",Brantford, Ontario,2010,unemployment,8.8
"Brantford, Ontario",Brantford, Ontario,2011,unemployment,8.6
"Brantford, Ontario",Brantford, Ontario,2012,unemployment,8.4
"Brantford, Ontario",Brantford, Ontario,2013,unemployment,6.4
"Brantford, Ontario",Brantford, Ontario,2014,unemployment,6.8
"Brantford, Ontario",Brantford, Ontario,2015,unemployment,5.7
"Brantford, Ontario",Brantford, Ontario,2016,unemployment,6
"Brantford, Ontario",Brantford, Ontario,2017,unemployment,4.9
"Brantford, Ontario",Brantford, Ontario,2018,unemployment,6.2
"Brantford, Ontario",Brantford, Ontario,2019,unemployment,4.3
"Brantford, Ontario",Brantford, Ontario,2020,unemployment,8.2
"Calgary, Alberta",Calgary, Alberta,2001,unemployment,4.6
"Calgary, Alberta",Calgary, Alberta,2002,unemployment,5.7
"Calgary, Alberta",Calgary, Alberta,2003,unemployment,5.4
"Calgary, Alberta",Calgary, Alberta,2004,unemployment,5
"Calgary, Alberta",Calgary, Alberta,2005,unemployment,3.9
"Calgary, Alberta",Calgary, Alberta,2006,unemployment,3.2
"Calgary, Alberta",Calgary, Alberta,2007,unemployment,3.2
"Calgary, Alberta",Calgary, Alberta,2008,unemployment,3.4
"Calgary, Alberta",Calgary, Alberta,2009,unemployment,6.7
"Calgary, Alberta",Calgary, Alberta,2010,unemployment,6.8
"Calgary, Alberta",Calgary, Alberta,2011,unemployment,5.9
"Calgary, Alberta",Calgary, Alberta,2012,unemployment,4.7
"Calgary, Alberta",Calgary, Alberta,2013,unemployment,4.8
"Calgary, Alberta",Calgary, Alberta,2014,unemployment,5
"Calgary, Alberta",Calgary, Alberta,2015,unemployment,6.4
"Calgary, Alberta",Calgary, Alberta,2016,unemployment,9.4
"Calgary, Alberta",Calgary, Alberta,2017,unemployment,8.5
"Calgary, Alberta",Calgary, Alberta,2018,unemployment,7.7
"Calgary, Alberta",Calgary, Alberta,2019,unemployment,7.1
"Calgary, Alberta",Calgary, Alberta,2020,unemployment,11.8
"Edmonton, Alberta",Edmonton, Alberta,2001,unemployment,5
"Edmonton, Alberta",Edmonton, Alberta,2002,unemployment,5.2
"Edmonton, Alberta",Edmonton, Alberta,2003,unemployment,5
"Edmonton, Alberta",Edmonton, Alberta,2004,unemployment,4.8
"Edmonton, Alberta",Edmonton, Alberta,2005,unemployment,4.5
"Edmonton, Alberta",Edmonton, Alberta,2006,unemployment,3.9
"Edmonton, Alberta",Edmonton, Alberta,2007,unemployment,3.8
"Edmonton, Alberta",Edmonton, Alberta,2008,unemployment,3.7
"Edmonton, Alberta",Edmonton, Alberta,2009,unemployment,6.5
"Edmonton, Alberta",Edmonton, Alberta,2010,unemployment,7
"Edmonton, Alberta",Edmonton, Alberta,2011,unemployment,5.4
"Edmonton, Alberta",Edmonton, Alberta,2012,unemployment,4.7
"Edmonton, Alberta",Edmonton, Alberta,2013,unemployment,4.8
"Edmonton, Alberta",Edmonton, Alberta,2014,unemployment,5.1
"Edmonton, Alberta",Edmonton, Alberta,2015,unemployment,6
"Edmonton, Alberta",Edmonton, Alberta,2016,unemployment,7.4
