City,Province,City Population,11.1.1,11.1.1cm,11.2.1,11.2.1cm,11.3.1,11.3.1cm,11.3.2,11.3.2cm,11.4.1,11.4.1cm,11.5.1,11.5.1cm,11.5.2,11.5.2cm,11.6.1,11.6.1cm,11.6.2,11.6.2cm,11.7.1,11.7.1cm,11.7.2,11.7.2cm
Min,,,0.191,,59.9,,4.1,,2,,893.2572084,,149800.8415,,1707159182,,0,,8.3,,20.74545121,,163.3,
Max (Target),,,0,,100,,1,,5,,1500,,0,,0,,1,,5,,50,,0,
St. John's,NL,202621.00,0.12,0.40,59.90,0.00,2.80,0.42,3.75,0.58,893.00,0.00,39627.00,0.74,43180205.00,0.97,1.00,1.00,5.10,0.97,25.37,0.16,66.25,0.59
Halifax,NS,402567.00,0.14,0.28,70.90,0.27,2.90,0.40,3.75,0.58,1060.00,0.28,149801.00,0.00,16873956.00,0.99,1.00,1.00,5.00,1.00,62.45,1.43,163.30,0.00
Quebec City,QC,780496.00,0.07,0.62,83.10,0.58,2.40,0.56,3.25,0.42,988.00,0.16,48147.00,0.68,15637289.00,0.99,1.00,1.00,8.20,0.03,20.96,0.01,57.12,0.65
Sherbrooke,QC,205654.00,0.07,0.62,76.40,0.41,3.50,0.21,2.00,0.00,1129.00,0.39,64790.00,0.57,4117656.00,1.00,1.00,1.00,5.00,1.00,28.41,0.26,74.54,0.54
Montréal,QC,4017425.00,0.11,0.43,91.60,0.79,2.40,0.54,3.25,0.42,981.00,0.15,49810.00,0.67,80353265.00,0.95,1.00,1.00,7.10,0.36,31.01,0.35,63.55,0.61
Toronto,ON,5832477.00,0.19,0.00,93.00,0.83,1.10,0.97,4.25,0.75,1020.00,0.21,41323.00,0.72,1105135591.00,0.35,1.00,1.00,7.00,0.39,34.31,0.46,59.61,0.63
Hamilton,ON,746907.00,0.13,0.32,81.10,0.53,2.20,0.60,4.75,0.92,1031.00,0.23,28473.00,0.81,15325088.00,0.99,1.00,1.00,7.80,0.15,32.14,0.39,84.70,0.48
St. Catharines--Niagara,ON,405963.00,0.14,0.27,80.90,0.52,4.10,0.00,3.50,0.50,922.00,0.05,28283.00,0.81,8266321.00,1.00,1.00,1.00,6.90,0.42,37.10,0.56,75.77,0.54
Kitchener--Cambridge--Waterloo,ON,517217.00,0.11,0.40,86.20,0.66,1.20,0.92,4.00,0.67,934.00,0.07,28615.00,0.81,10621226.00,0.99,1.00,1.00,7.30,0.30,29.53,0.30,84.78,0.48
London,ON,492692.00,0.14,0.27,77.70,0.44,2.10,0.65,4.00,0.67,1033.00,0.23,28399.00,0.81,10064333.00,0.99,1.00,1.00,6.80,0.45,30.46,0.33,81.69,0.50
Windsor,ON,332586.00,0.12,0.39,67.10,0.18,4.00,0.04,3.25,0.42,1087.00,0.32,35933.00,0.76,6812775.00,1.00,1.00,1.00,8.30,0.00,20.75,0.00,66.33,0.59
Winnipeg,MB,757962.00,0.12,0.37,88.20,0.71,2.10,0.65,4.00,0.67,1061.00,0.28,4357.00,0.97,788072661.00,0.54,1.00,1.00,5.80,0.76,23.80,0.10,99.18,0.39
Regina,SK,225162.00,0.13,0.30,90.40,0.76,2.20,0.60,2.25,0.08,1100.00,0.34,6857.00,0.95,54987869.00,0.97,1.00,1.00,8.10,0.06,38.55,0.61,84.37,0.48
Saskatoon,SK,279499.00,0.12,0.38,82.60,0.57,1.80,0.73,3.75,0.58,1067.00,0.29,243.00,1.00,73116256.00,0.96,1.00,1.00,6.80,0.45,21.74,0.03,102.37,0.37
Calgary,AB,1310734.00,0.11,0.41,88.90,0.72,0.90,1.04,4.00,0.67,1272.00,0.62,5778.00,0.96,1707159182.00,0.00,1.00,1.00,5.20,0.94,34.88,0.48,70.78,0.57
Edmonton,AB,1245018.00,0.12,0.36,82.70,0.57,1.50,0.84,3.25,0.42,1284.00,0.64,148.00,1.00,9326471.00,0.99,1.00,1.00,6.40,0.58,30.30,0.33,85.57,0.48
Vancouver,BC,2420788.00,0.18,0.08,92.70,0.82,0.90,1.02,4.00,0.67,1139.00,0.41,55298.00,0.63,341118136.00,0.80,1.00,1.00,4.50,1.15,30.43,0.33,52.28,0.68
Victoria,BC,361091.00,0.14,0.26,90.40,0.76,1.20,0.93,4.00,0.67,1145.00,0.42,22219.00,0.85,25789187.00,0.98,1.00,1.00,4.30,1.21,21.97,0.04,71.27,0.56
