,City,Province,City Population,11.1.1,11.1.1cm,11.2.1,11.2.1cm,11.3.1,11.3.1cm,11.3.2,11.3.2cm,11.4.1,11.4.1cm,11.5.1,11.5.1cm,11.5.2,11.5.2cm,11.6.1,11.6.1cm,11.6.2,11.6.2cm,11.7.1,11.7.1cm,11.7.2,11.7.2cm,11.1.1js,11.2.1js,11.3.1js,11.3.2js,11.4.1js,11.5.1js,11.5.2js,11.6.1js,11.6.2js,11.7.1js,11.7.2js
0,Min,,,0.191,,59.9,,4.1,,2.0,,893.2572084,,149800.8415,,1707159182.0,,0.0,,8.3,,20.74545121,,163.3,,1.0,0.0,1.0,0.0,0.0004237370675452823,0.9999989419296267,1.0,0.0,1.0,0.0,1.0
1,Max (Target),,,0.0,,100.0,,1.0,,5.0,,1500.0,,0.0,,0.0,,1.0,,5.0,,50.0,,0.0,,0.0,0.9999999999999998,0.03125,0.9999999999999999,1.0,0.0,0.0,1.0,0.17500000000000004,0.7014714135215561,0.0
2,St. John's,NL,202621.0,0.12,0.4,59.9,0.0,2.8,0.42,3.75,0.58,893.0,0.0,39627.0,0.74,43180205.0,0.97,1.0,1.0,5.1,0.97,25.37,0.16,66.25,0.59,0.6282722513089005,0.0,0.59375,0.5833333333333334,0.0,0.26453094438621905,0.025293602058486894,1.0,0.19999999999999996,0.11088835448829715,0.4056950398040416
3,Halifax,NS,402567.0,0.14,0.28,70.9,0.27,2.9,0.4,3.75,0.58,1060.0,0.28,149801.0,0.0,16873956.0,0.99,1.0,1.0,5.0,1.0,62.45,1.43,163.3,0.0,0.7329842931937173,0.2743142144638404,0.625,0.5833333333333334,0.27512355848434944,1.0,0.009884231170658344,1.0,0.17500000000000004,1.0,1.0
4,Quebec City,QC,780496.0,0.07,0.62,83.1,0.58,2.4,0.56,3.25,0.42,988.0,0.16,48147.0,0.68,15637289.0,0.99,1.0,1.0,8.2,0.03,20.96,0.01,57.12,0.65,0.36649214659685864,0.5785536159600995,0.46875,0.41666666666666663,0.15650741350906094,0.3214063991562139,0.009159830650168392,1.0,0.9749999999999996,0.005144493735691702,0.34978567054500914
5,Sherbrooke,QC,205654.0,0.07,0.62,76.4,0.41,3.5,0.21,2.0,0.0,1129.0,0.39,64790.0,0.57,4117656.0,1.0,1.0,1.0,5.0,1.0,28.41,0.26,74.54,0.54,0.36649214659685864,0.4114713216957606,0.8125,0.0,0.38879736408566723,0.4325071261206534,0.0024119930018336156,1.0,0.17500000000000004,0.18378208162841514,0.45646050214329453
6,Montréal,QC,4017425.0,0.11,0.43,91.6,0.79,2.4,0.54,3.25,0.42,981.0,0.15,49810.0,0.67,80353265.0,0.95,1.0,1.0,7.1,0.36,31.01,0.35,63.55,0.61,0.5759162303664921,0.7905236907730673,0.46875,0.41666666666666663,0.14497528830313033,0.3325077936729394,0.047068408058973846,1.0,0.6999999999999997,0.24612540089298973,0.3891610532761788
7,Toronto,ON,5832477.0,0.19,0.0,93.0,0.83,1.1,0.97,4.25,0.75,1020.0,0.21,41323.0,0.72,1105135591.0,0.35,1.0,1.0,7.0,0.39,34.31,0.46,59.61,0.63,0.9947643979057591,0.8254364089775559,0.0625,0.7499999999999999,0.20922570016474462,0.2758526311573354,0.6473535699847819,1.0,0.6749999999999998,0.3252534599595652,0.3650336803429271
8,Hamilton,ON,746907.0,0.13,0.32,81.1,0.53,2.2,0.6,4.75,0.92,1031.0,0.23,28473.0,0.81,15325088.0,0.99,1.0,1.0,7.8,0.15,32.14,0.39,84.7,0.48,0.6806282722513088,0.5286783042394012,0.40625,0.9166666666666666,0.22734761120263602,0.19007216240212013,0.008976953152105062,1.0,0.8749999999999998,0.2732207665733626,0.518677281077771
9,St. Catharines--Niagara,ON,405963.0,0.14,0.27,80.9,0.52,4.1,0.0,3.5,0.5,922.0,0.05,28283.0,0.81,8266321.0,1.0,1.0,1.0,6.9,0.42,37.1,0.56,75.77,0.54,0.7329842931937173,0.5236907730673319,1.0,0.4999999999999999,0.047775947281713416,0.18880381305865782,0.004842150097752278,1.0,0.6499999999999999,0.3921526371703973,0.4639926515615431
