,City,Province,City Population,11.1.1,11.1.1cm,11.1.1f,11.2.1,11.2.1cm,11.2.1f,11.3.1,11.3.1cm,11.3.1f,11.6.2,11.6.2cm,11.6.2f,11.7.2,11.7.2cm,11.7.2f,11.1.1_python,11.2.1_python,11.3.1_python,11.6.2_python,11.7.2_python,11.1.1_python_inverted,11.2.1_python_inverted,11.3.1_python_inverted,11.6.2_python_inverted,11.7.2_python_inverted
0,Min,,,0.0,,,59.9,,,1.0,,,5.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
1,Max,,,0.19,,,100.0,,,4.1,,,8.3,,,163.3,,,0.9947643979057591,0.9999999999999998,1.0,1.0000000000000002,1.0,0.005235602094240899,2.220446049250313e-16,0.0,-2.220446049250313e-16,0.0
2,St. John's,NL,"202,621",0.115,0.602094241,0.397905759,59.9,0.0,0.0,2.800718484,0.58087693,0.41912307,5.1,0.03030303,0.96969697,66.25,0.40569504,0.59430496,0.6020942408376964,0.0,0.5808769303225807,0.030303030303030276,0.4056950398040416,0.39790575916230364,1.0,0.4191230696774193,0.9696969696969697,0.5943049601959585
3,Halifax,NS,"402,567",0.137,0.717277487,0.282722513,70.9,0.274314214,0.274314214,2.854260869,0.598148667,0.401851333,5.0,0.0,1.0,163.3,1.0,0.0,0.7172774869109948,0.2743142144638404,0.5981486674193549,0.0,1.0,0.2827225130890052,0.7256857855361596,0.4018513325806451,1.0,0.0
4,Quebec City,QC,"780,496",0.072,0.376963351,0.623036649,83.1,0.578553616,0.578553616,2.379058873,0.444857701,0.555142299,8.2,0.96969697,0.03030303,57.12,0.349785671,0.650214329,0.37696335078534027,0.5785536159600995,0.444857700967742,0.9696969696969695,0.34978567054500914,0.6230366492146597,0.42144638403990053,0.555142299032258,0.030303030303030498,0.6502143294549909
5,Sherbrooke,QC,"205,654",0.072,0.376963351,0.623036649,76.4,0.411471322,0.411471322,3.450429658,0.79046118,0.20953882,5.0,0.0,1.0,74.54,0.456460502,0.543539498,0.37696335078534027,0.4114713216957606,0.7904611800000002,0.0,0.45646050214329453,0.6230366492146597,0.5885286783042394,0.2095388199999998,1.0,0.5435394978567054
6,Montréal,QC,"4,017,425",0.109,0.570680628,0.429319372,91.6,0.790523691,0.790523691,2.417237563,0.457173407,0.542826593,7.1,0.636363636,0.363636364,63.55,0.389161053,0.610838947,0.5706806282722513,0.7905236907730673,0.45717340741935486,0.636363636363636,0.3891610532761788,0.4293193717277487,0.20947630922693272,0.5428265925806451,0.363636363636364,0.6108389467238212
7,Toronto,ON,"5,832,477",0.191,1.0,0.0,93.0,0.825436409,0.825436409,1.082207186,0.026518447,0.973481553,7.0,0.606060606,0.393939394,59.61,0.36503368,0.63496632,1.0,0.8254364089775559,0.0265184470967742,0.6060606060606062,0.3650336803429271,0.0,0.17456359102244412,0.9734815529032258,0.3939393939393938,0.634966319657073
8,Hamilton,ON,"746,907",0.13,0.680628272,0.319371728,81.1,0.528678304,0.528678304,2.24767677,0.402476378,0.597523622,7.8,0.848484848,0.151515152,84.7,0.518677281,0.481322719,0.6806282722513088,0.5286783042394012,0.40247637741935494,0.8484848484848484,0.518677281077771,0.31937172774869116,0.4713216957605988,0.5975236225806451,0.1515151515151516,0.481322718922229
9,St. Catharines--Niagara,ON,"405,963",0.139,0.727748691,0.272251309,80.9,0.523690773,0.523690773,4.089666776,0.996666702,0.003333298,6.9,0.575757576,0.424242424,75.77,0.463992652,0.536007348,0.7277486910994765,0.5236907730673319,0.9966667019354839,0.5757575757575759,0.4639926515615431,0.2722513089005235,0.4763092269326681,0.0033332980645160992,0.4242424242424241,0.5360073484384569
