name,lat,lng,score$arithmetic,score$median,score$geometric,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11
"St. John's",47.5615,-52.7126,0.53,0.55,0.50,1.196,0.549820379,0.3375,0.99885,0.967883133,0.735821209,0.980259785,0.978409898,0.401,0.75,0.01
"Halifax",44.6488,-63.5752,0.39,0.29,0.00,1.2,0.536434783,0,0.99863,0.758780432,0.001327723,0.991863667,0.991563022,0.291,0.75,0.01
"Quebec City",46.8139,-71.2080,0.50,0.65,0.46,1.072,0.655235282,0.4288,0.99928,0.849684887,0.67901811,0.992612202,0.992181355,0.169,0.65,0.01
"Sherbrooke",45.4042,-71.8929,0.47,0.39,0.41,1.2,0.387392585,0.2546,0.99928,0.946702839,0.568067252,0.998054561,0.997941172,0.236,0.4,0.01
"Montreal",45.5017,-73.5673,0.44,0.36,0.37,1.116,0.645690609,0.3645,0.99891,0.199575696,0.667936388,0.962036346,0.959823367,0.084,0.65,0.01
"Toronto",43.6532,-79.3832,0.41,0.40,0.29,1.12,0.979448204,0.4039,0.99809,0.035948184,0.724516178,0.472314916,0.447432205,0.07,0.85,0.01
"Hamilton",43.2557,-79.8711,0.52,0.69,0.45,1.088,0.688080807,0.153,0.9987,0.914932794,0.810179056,0.992682509,0.992337456,0.189,0.95,0.01
"St. Catharines, Niagara",43.1594,-79.2469,0.48,0.24,0.42,1.124,0.227583306,0.2423,0.99861,0.954073194,0.811449338,0.99605296,0.995866839,0.191,0.7,0.01
"Kitchener, Cambridge, Waterloo",43.4758,-80.5438,0.53,0.80,0.44,1.108,0.938148814,0.1522,0.99886,0.940800328,0.809236346,0.99492853,0.994689387,0.138,0.8,0.01
"London",42.9849,-81.2453,0.52,0.73,0.46,1.128,0.726802178,0.1831,0.99861,0.944031391,0.810670649,0.995194437,0.994967834,0.223,0.8,0.01
"Windsor",42.3149,-83.0364,0.49,0.34,0.45,1.068,0.257336486,0.3367,0.99883,0.952197311,0.760449643,0.996747006,0.996593613,0.329,0.65,0.01
"Winnipeg",49.8951,-97.1384,0.47,0.61,0.31,1.168,0.731442514,0.0082,0.99879,0.98678976,0.970952269,0.617834473,0.605963669,0.118,0.8,0.01
"Regina",50.4452,-104.6189,0.49,0.45,0.40,1.076,0.69016505,0.1563,0.99867,0.993824603,0.954289297,0.975137073,0.972506065,0.096,0.45,0.01
"Saskatoon",52.1579,-106.6702,0.52,0.75,0.00,1.128,0.789715092,0,0.99882,0.999728535,0.998381243,0.966749603,0.963441872,0.174,0.75,0.01
"Calgary",51.0447,-114.0719,0.45,0.20,0.35,1.192,1.029322572,0.2922,0.99887,0.969706496,0.961480235,0.204076288,0.146420409,0.111,0.8,0.01
"Edmonton",53.5461,-113.4938,0.53,0.65,0.45,1.144,0.878202354,0.1443,0.99877,0.999265422,0.999016644,0.995613356,0.995336765,0.173,0.65,0.01
"Vancouver",49.2827,-123.1207,0.49,0.48,0.42,1.22,1.01814951,0.4772,0.99824,0.464536408,0.631343497,0.839610176,0.829440932,0.073,0.8,0.01
"Victoria",48.4284,-123.3656,0.54,0.80,0.46,1.228,0.945180333,0.2873,0.99858,0.967908252,0.851876173,0.987398785,0.987105407,0.096,0.8,0.01
