name,lat,lng,score$arithmetic,score$median,score$geometric,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,SDG13,SDG15,SDG16
"San Jose-Sunnyvale-Santa Clara, CA ",36.9375,-121.3542,68.57,60.13,65.74,82.09,43.73,69.59,57.84,40.41,98.83,51.58,97.15,82.56,60.13,52.02,99.79,57.83,51.32,83.62
"Seattle-Tacoma-Bellevue, WA ",47.6061,-122.3321,63.52,62.83,59.73,62.83,27.07,63.39,43.62,37.04,100,100,78.06,54.21,48.74,69.23,97.29,52.45,51.43,67.38
"Boston-Cambridge-Newton, MA-NH ",42.3601,-71.0588,61.86,59.52,57.11,71.22,39.37,72.55,59.52,42.42,99.22,26.39,80.89,45.16,39.13,68.26,97.47,53.83,32.71,99.69
"San Francisco?Oakland?Hayward, CA ",37.7749,-122.4194,61.7,59.18,59.16,77.37,34.57,66.64,59.18,50.13,86.19,51.58,87.3,67.15,38.76,65.92,87.66,58.38,36.1,58.51
"Madison, WI ",43.0186,-89.5498,61.23,58.29,57.03,54.89,32.53,68.63,58.29,42.73,96.01,25,81.4,35.66,53.86,74.62,98.02,49.04,63.41,84.34
"Manchester-Nashua, NH ",42.8335,-71.6673,60.76,58.74,56.61,64.24,31.63,62.62,47.04,30.05,100,91.8,68.33,45.57,54.31,58.74,99.94,51.81,31.19,74.14
"Albany-Schenectady-Troy, NY ",42.7636,-73.6536,60.44,56.85,57.36,55.4,30.05,56.85,49.21,37.99,99.94,68.09,67.19,43.96,41.42,60.76,96.99,51.99,64.58,82.16
"Bridgeport-Stamford-Norwalk, CT ",41.2881,-73.3237,60.16,58.18,55.84,82.79,41.86,66.86,63.73,41.54,99.99,58.18,62.49,38.09,27.62,54.84,99.29,49.24,29.46,86.38
"Oxnard-Thousand Oaks-Ventura, CA ",34.5328,-119.1391,60.1,56.68,57.75,53.67,48.55,63.41,37.02,43.9,96.23,51.58,56.68,42.63,60.19,45.26,99.91,61.09,63.26,78.15
"Provo-Orem, UT ",39.9997,-111.6661,59.66,58.33,43.89,36.3,26.27,55.86,39.47,27.77,99.91,0.91,81.4,39.23,78.54,58.33,99.41,63.93,100,87.57
"Washington-Arlington-Alexandria, DC-VA-MD-WV ",39.129,-77.3784,58.44,59.63,54.54,74.87,42.63,59.63,56.39,55.07,19.62,86.61,66.61,35.67,40.31,66.52,97.9,39.47,61.9,73.35
"Worcester, MA-CT ",42.2571,-71.8571,58.21,53.91,53.52,53.91,32.19,62.94,43.63,30.82,99.97,26.39,70.38,35.65,48.47,54.69,99.29,53.77,62.34,98.68
"Raleigh, NC ",35.7796,-78.6382,57.3,52.9,53.06,48.92,23.38,45.01,54.06,30.18,99.91,47.36,85.03,53.19,37.93,46.44,98.4,52.9,55.52,81.3
"San Diego-Carlsbad, CA ",33.1581,-117.3506,57.2,51.58,54.45,43.53,39.07,57.46,39.37,45.89,95.49,51.58,63.05,62.55,48.87,34.46,97.64,63.26,41.31,74.47
"Des Moines-West Des Moines, IA ",41.5639,-93.7594,57.18,57.06,53.41,51.14,24.56,57.06,46.86,34.85,96.75,57.1,72.38,27.51,51.62,62.23,96.64,49.58,58.38,71.04
"Hartford-West Hartford-East Hartford, CT ",41.6711,-72.5205,56.66,55.66,53.33,61.15,28.91,56.45,53.84,43.91,89.56,58.18,58.26,29.49,33.54,55.66,98.08,51.7,48.65,82.45
"Boise City, ID ",43.615,-116.2023,56.48,54.95,51.23,29.98,22.43,54.7,28.6,30.45,92.47,98.7,64.07,34.84,60.16,54.95,95.46,56.46,54.32,69.55
"Portland-Vancouver-Hillsboro, OR-WA ",45.6537,-122.5463,56.17,51.09,49.95,45.7,27.15,59.75,40.58,36.53,99.97,89.42,51.09,44.93,45.05,68.01,97.07,11.41,56.43,69.55
