name,latitude,longitude,score,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,SDG13,SDG15,SDG16
"San Jose-Sunnyvale-Santa Clara, CA ",36.9375,-121.3542,68.57,82.09,43.73,69.59,57.84,40.41,98.83,51.58,97.15,82.56,60.13,52.02,99.79,57.83,51.32,83.62
"Seattle-Tacoma-Bellevue, WA ",47.6061,-122.3321,63.52,62.83,27.07,63.39,43.62,37.04,100,100,78.06,54.21,48.74,69.23,97.29,52.45,51.43,67.38
"Boston-Cambridge-Newton, MA-NH ",42.3601,-71.0588,61.86,71.22,39.37,72.55,59.52,42.42,99.22,26.39,80.89,45.16,39.13,68.26,97.47,53.83,32.71,99.69
"San Francisco?Oakland?Hayward, CA ",37.7749,-122.4194,61.7,77.37,34.57,66.64,59.18,50.13,86.19,51.58,87.3,67.15,38.76,65.92,87.66,58.38,36.1,58.51
"Madison, WI ",43.0186,-89.5498,61.23,54.89,32.53,68.63,58.29,42.73,96.01,25,81.4,35.66,53.86,74.62,98.02,49.04,63.41,84.34
"Manchester-Nashua, NH ",42.8335,-71.6673,60.76,64.24,31.63,62.62,47.04,30.05,100,91.8,68.33,45.57,54.31,58.74,99.94,51.81,31.19,74.14
"Albany-Schenectady-Troy, NY ",42.7636,-73.6536,60.44,55.4,30.05,56.85,49.21,37.99,99.94,68.09,67.19,43.96,41.42,60.76,96.99,51.99,64.58,82.16
"Bridgeport-Stamford-Norwalk, CT ",41.2881,-73.3237,60.16,82.79,41.86,66.86,63.73,41.54,99.99,58.18,62.49,38.09,27.62,54.84,99.29,49.24,29.46,86.38
"Oxnard-Thousand Oaks-Ventura, CA ",34.5328,-119.1391,60.1,53.67,48.55,63.41,37.02,43.9,96.23,51.58,56.68,42.63,60.19,45.26,99.91,61.09,63.26,78.15
"Provo-Orem, UT ",39.9997,-111.6661,59.66,36.3,26.27,55.86,39.47,27.77,99.91,0.91,81.4,39.23,78.54,58.33,99.41,63.93,100,87.57
"Washington-Arlington-Alexandria, DC-VA-MD-WV ",39.129,-77.3784,58.44,74.87,42.63,59.63,56.39,55.07,19.62,86.61,66.61,35.67,40.31,66.52,97.9,39.47,61.9,73.35
"Worcester, MA-CT ",42.2571,-71.8571,58.21,53.91,32.19,62.94,43.63,30.82,99.97,26.39,70.38,35.65,48.47,54.69,99.29,53.77,62.34,98.68
"Raleigh, NC ",35.7796,-78.6382,57.3,48.92,23.38,45.01,54.06,30.18,99.91,47.36,85.03,53.19,37.93,46.44,98.4,52.9,55.52,81.3
"San Diego-Carlsbad, CA ",33.1581,-117.3506,57.2,43.53,39.07,57.46,39.37,45.89,95.49,51.58,63.05,62.55,48.87,34.46,97.64,63.26,41.31,74.47
"Des Moines-West Des Moines, IA ",41.5639,-93.7594,57.18,51.14,24.56,57.06,46.86,34.85,96.75,57.1,72.38,27.51,51.62,62.23,96.64,49.58,58.38,71.04
"Hartford-West Hartford-East Hartford, CT ",41.6711,-72.5205,56.66,61.15,28.91,56.45,53.84,43.91,89.56,58.18,58.26,29.49,33.54,55.66,98.08,51.7,48.65,82.45
"Boise City, ID ",43.615,-116.2023,56.48,29.98,22.43,54.7,28.6,30.45,92.47,98.7,64.07,34.84,60.16,54.95,95.46,56.46,54.32,69.55
"Portland-Vancouver-Hillsboro, OR-WA ",45.6537,-122.5463,56.17,45.7,27.15,59.75,40.58,36.53,99.97,89.42,51.09,44.93,45.05,68.01,97.07,11.41,56.43,69.55
"New York-Newark-Jersey City, NY-NJ-PA ",40.7128,-74.006,55.64,52.46,34.89,58.73,48.22,53.62,56.15,68.09,53.45,24.86,24.92,60.87,93.85,60.04,64.19,80.27
"Rochester, NY ",43.1566,-77.6088,54.74,37.77,23.75,50.42,40.89,39.79,84.68,68.09,52.83,45.78,30.03,55.56,95.5,58.6,60.8,76.61
"Allentown-Bethlehem-Easton, PA-NJ ",40.7292,-75.2479,54.61,47.88,29.28,51.36,30.23,41.4,99.76,49.8,63.75,26.19,58.14,58.15,94.88,53.35,48.14,66.92
"Ogden-Clearfield, UT ",41.1645,-112.0476,54.39,45.95,26.58,51.53,33.51,21.72,99.84,0.91,65.58,31.53,78.98,60.55,97.16,58.11,69.9,73.97
"Trenton, NJ ",40.2206,-74.7597,54.38,60.07,32.84,57.33,53.23,42.56,99.89,47.67,63.07,32.64,17.75,66.3,99.72,53.76,22.03,66.87
"Minneapolis-St. Paul-Bloomington, MN-WI ",45.2473,-93.4554,54.27,60.02,35.95,64.23,49.88,36.54,75.56,53.69,70.54,39.98,51.31,61.38,88.27,0,49.13,77.57
"New Haven-Milford, CT ",41.3873,-72.9461,53.62,46.85,25.42,55.52,47.03,44.25,99.98,58.18,54.26,28.03,32.13,59.76,95.11,53.59,27.65,76.49
"Spokane-Spokane Valley, WA ",47.6732,-117.2394,53.57,28.24,14.09,52.56,30.74,19.7,99.81,100,56.63,24.63,40.02,69.61,72.78,54.18,83.84,56.74
"Harrisburg-Carlisle, PA ",40.3157,-77.1025,53.46,47.78,22.12,48.1,28.59,36.91,99.73,49.8,54.76,21.45,38.02,56.5,98.53,53.9,78.3,67.36
"Baltimore-Columbia-Towson, MD ",39.3726,-76.6413,53.29,58.09,29.41,51.28,44.01,52,83.91,56,70.41,26.72,22.97,56.57,93.85,47.72,75.75,30.73
"Lancaster, PA ",40.0467,-76.1784,53.06,43.78,29.35,50.27,16.44,25.08,99.4,49.8,58.72,12.72,53.87,49.3,92.75,57.33,72.41,84.62
"Sacramento?Roseville?Arden-Arcade, CA ",39.0427,-120.712,52.26,37.49,20.84,56.61,37.47,51.7,77.16,51.58,59.85,31.32,39.78,48.43,99.68,59.42,52.53,60.1
"Springfield, MA ",42.1015,-72.5898,51.95,29.5,34.1,60.64,38.57,28.28,100,26.39,57.95,17.91,29.09,55.4,98.58,58.22,77.97,66.74
"Buffalo-Cheektowaga-Niagara Falls, NY ",42.54,-78.51,51.67,37.01,22.82,44.97,42.88,38.42,99.82,68.09,53.07,15.84,27.99,61.09,92.62,58.74,47.35,64.28
"Austin-Round Rock, TX ",30.123,-97.6114,51.16,45.31,23.37,49.2,46.22,31.35,99.43,22.56,84.57,55.28,36.49,49.14,98.7,0,55.53,70.27
"Pittsburgh, PA ",40.4406,-79.9959,50.85,49.18,21.81,52.51,44.85,37.81,92.76,49.8,69.59,20.9,39.92,53.39,81.28,50.55,38.37,60.03
"Urban Honolulu, HI ",21.315603,-157.8581,50.83,59.44,34.08,60.85,36.1,48.98,,7.43,58.61,22.58,66.18,52.86,65.55,61.92,53.41,83.68
"Syracuse, NY ",43.0481,-76.1474,50.75,34.12,22.89,52.25,35.73,30.67,58.21,68.09,57.38,16.16,29.47,63.38,93.96,58.54,61.22,79.13
"Denver-Aurora-Lakewood, CO ",39.5143,-104.8455,50.44,54.87,40.96,55.55,45.87,29.48,91.9,21.64,70.61,34.72,33.85,62.79,96.29,0,60.13,58
"Palm Bay-Melbourne-Titusville, FL ",28.2639,-80.7214,50.07,31.02,19.49,43.59,36.45,40.91,100,11.01,60.72,44.37,38.4,60.23,97.83,50.62,82.94,33.53
"Omaha-Council Bluffs, NE-IA ",41.2904,-95.8987,49.88,50.42,21.12,48.54,40.11,36.6,83.56,44.53,70.75,19.97,39.77,60.48,91.31,8.83,68.31,63.97
"Virginia Beach-Norfolk-Newport News, VA-NC ",36.7862,-76.5488,49.79,41.07,16.32,39.95,33.49,46.4,87.06,43.88,50.95,23.42,35.33,55.79,89.46,51.32,78.99,53.47
"Colorado Springs, CO ",38.8631,-104.8455,49.38,44.88,30.59,48.06,40.94,18.13,99.97,21.64,61.06,39.69,52.3,65.7,62.58,50.42,60.47,44.23
"Tucson, AZ ",32.2226,-110.9747,49.34,15.8,24.44,52.48,28.24,40.53,99.99,47.15,44.87,38.31,41.51,55.71,94.23,54.82,69.92,32.12
"Phoenix-Mesa-Scottsdale, AZ ",33.4982,-112.2384,49.11,25.62,20.47,48.16,23.87,41.98,95.4,47.15,49.74,28.9,41.84,44.77,98.09,54.99,69.54,46.08
"Scranton?Wilkes-Barre?Hazleton, PA ",40.9584,-75.9746,48.9,28.09,20.35,47.12,29.22,12.38,99.71,49.8,55.66,3.1,54.4,59.37,99.68,54.38,63.08,57.21
"Akron, OH ",41.202,-81.4279,48.86,36.55,12.18,44.02,38.17,25.95,99.91,13.57,68.58,19.75,25.61,59.41,97.61,73.22,48.19,70.22
"Nashville-Davidson?Murfreesboro?Franklin, TN ",36.1299,-86.6611,48.8,42.15,16.91,37.83,35.47,36.99,91.91,56.33,71.14,19.41,26.07,38.93,93.49,50.72,79.16,35.51
"Grand Rapids-Wyoming, MI ",42.9288,-85.4376,48.53,39.46,27.22,53.15,37.24,6.44,94.9,40.84,68.88,24.18,30.18,49.86,88.12,49.41,43.26,74.75
"Charleston-North Charleston, SC ",33.1261,-80.0088,48.07,34.37,18.18,35.05,38.09,45.31,100,77.34,61.78,12.91,34.43,56.86,81.79,33.65,47.9,43.36
"Wichita, KS ",37.6872,-97.3301,47.88,34.54,15.11,41.07,33.11,17.64,95.83,56.36,60.14,18.72,37.92,58.46,95.87,47.03,69.48,36.88
"Dallas-Fort Worth-Arlington, TX ",32.7079,-96.9209,47.44,38.3,12.43,36.4,31,42.28,92.32,22.56,69.08,28.95,33.48,48.16,98.11,38.65,59.11,60.71
"Orlando-Kissimmee-Sanford, FL ",28.5828,-81.3399,47.2,23.6,23.39,39.47,36.22,47.38,99.99,11.01,57.73,25.34,32.9,52.35,96.37,56.8,55.76,49.7
